tweet_id,text
1357798,"@AskPlayStation hi my playstation vr won’t turn on. It’s just the headset that won’t turn on everything else works fine, what should I do?"
1597529,"@AskPlayStation Did it, still got the same error code. Didn't work."
100775,@AskPlayStation Thanks for the response. It's a seagate 6tb external HDD.. But when I plug in the usb I get notice that it's not supported. It's a 3.0 USB HDD.. At the moment I am using a seagate 2tb one. I got same notice but was still able to format it. I wonder why it won't read the 6tb drive
1532417,@AskPlayStation im having this problem where im trying to dowload fortnite but when it has dowloaded 50% it goes to 99+h and when im at notifications and l pause it and resume it then it still will say 99+h and at the notifications tab there is no predictions to when its done https://t.co/WKONyYWehU
2427896,@AskPlayStation Any help why the live chat can’t find my account?
2716220,"@AskPlayStation Already did that, but there's nothing. I've also checked my download list/que on the web. Still nothing. I also didn't receive any email"
2708675,@AskPlayStation I had already tried that previously and that never worked. It isn’t only for one controller it does that with all the controllers. And it isn’t something with it being broken because it works on ps4 menu
346620,@AskPlayStation I can't restore licenses it gives error (CE-38732-3)
694679,"@AskPlayStation, Hi Playstation i recently was charged with an auto-renewal for my playstation plus subscription that i was not aware of. Can i please get a refund? Thanks."
1599537,"@AskPlayStation No, but I will! The system is very new and was occasionally turning off when I first installed it"
390938,@AskPlayStation My ps4 is type 3 right now
976416,"@117014 @AskPlayStation all day having issues, can i get help, my playstation also has a problem turning off"
2595777,@115754 @AskPlayStation @161794 @140739 why isn’t my code for destiny the collection working and why is no one helping please help me
2071173,@117353 @AskPlayStation I just bought v-bucks and nothing came through??? What’s going on
715623,@AskPlayStation Can you give me the remote play 5.2 link? I lost it so i am trying to find a new link.
946329,"@AskPlayStation so um I’m having trouble with my used PS3, I have no warranty, I think the HDMI port is loose. Here’s a video: https://t.co/ViwP1ywWXn"
2677060,@AskPlayStation Games like overwatch and fortnight just keep rubber banding
2734749,@AskPlayStation been getting this error when I️ use this Wifi and another Wifi. Same error on both. HELP https://t.co/Jl3XQ1nskm
2601684,@AskPlayStation It is my isp thanks for responding tho
1207772,"@AskPlayStation I pre-orderd the new south park, said the pre-order failed but I can access Stick of truth and my wallet is empty. Help?"
355408,"@AskPlayStation It's kind of like it's muted, but also ""locked"" on mute. I can hear it's sound when I plug in some ear buds, but not through the system."
2678966,@AskPlayStation There's a playstation network account using my email address that I no longer have access to? Who can I speak to?
1020448,"i love you guys ,thx for help @AskPlayStation https://t.co/gaeWz1cfXu"
2099451,@AskPlayStation Game keeps freezing and crashing error CE-34878-0 https://t.co/be0weTEK6t
1828105,"@AskPlayStation my PlayStation has been freezing and making me reinstall system update 5.00, what's wrong with my system?"
2003651,"@AskPlayStation Hi, I cannot access the chat to receive PlayStation Support. Saying account is not available. How to fix this my friend?"
713051,@AskPlayStation Thanks it worked
2629676,"@AskPlayStation Hey, so I pre ordered Battlefront 2 standard edition months ago and I haven't received any pre order bonuses :/ any help would be great"
2624678,@AskPlayStation I can't find the live chat
2481932,"@AskPlayStation hi there, I bought a #psvr 3 month ago. Today does not turn on, any light coming. My PS4 work good. I would like to know how to claim my warranty. I lost my receipt"
112316,@AskPlayStation hi I haven't received the Party edition Dlc but I did get the pre-order patio stuff dlc any help? https://t.co/zvqJfSLNTr
1005498,@askplaystation PSVue would be great if it actually worked. Last few football games have been like this every 3min https://t.co/4s6Z3uFREz
271729,"@AskPlayStation Ojo la otra cuenta que tengo en mi PS4 ya revise y no tiene ninguna cuenta asociada, si hay alguna solución o darle un restar a la cuenta"
97146,"@AskPlayStation It worked, thanks for the help and support!"
1719543,@AskPlayStation i need help
2967410,@AskPlayStation hey i am having troubles login into my account and would need some help
2179215,@AskPlayStation It won’t let me put money in my wallet from my card
2709586,@AskPlayStation I️ am now
2506107,Can I upgrade Star Wars Battlefront 2 Standard Edition to Trooper Elite? I just want to pay the difference instead of paying for both. @AskPlayStation #PSN
44074,@AskPlayStation Do I lose my trophies or saved data by doing that?
340370,"@AskPlayStation 
Hello 👋
Where I can find the like for pre-load the GT Sport beta ?
(I'm a PS Plus member)"
1015227,"@AskPlayStation I’ve literally tried all of that, changed DNS settings, done a full reboot of the system, changed location of the PS3 into another room"
2635924,@AskPlayStation I've tried most of these. Can you just tell me why I can't log in to my account even from the internet.
1799024,"@AskPlayStation hi I have one problem. So my PS4 turned off by it self and when I turned it on it said to connect my USB charger but I have to use a port charger and I can’t do it. Should I get a new one, send it to u guys. I have another controller but it won’t work."
574432,@AskPlayStation It is Error code: WC-40355-7
830382,"@AskPlayStation Got it working, thanks!"
2336018,@AskPlayStation Your app
1778375,"@AskPlayStation having network issues when trying to watch. No issues with ps store, Netflix, or other apps on the PlayStation 4"
2963739,"Hey, ps store refuses to load on my ps4 pro , when i click on ps store the only thing that pops up is the ""please wait"" that seems to blink every 2-3 seconds, how do i fix it(happens with communities as well) its really enoying @AskPlayStation"
2622060,@AskPlayStation Both
1280320,@AskPlayStation i’m trying to reset my password for my account and every time i get the code you sent me and put it in it says error. help
286040,@AskPlayStation HELP!  5 accounts.  All but one was able to get logged on.   I accepted the new terms on my master account. Get error messsg https://t.co/XDHkZGNAK4
1106938,@AskPlayStation Guide on how to get a refund? Feel like I am being robbed here... Hoping that you actually know customer service and help out
2511954,@AskPlayStation Nope didn't help
2500047,@AskPlayStation No no error codes just says that my account is inactive
2315768,@AskPlayStation When i tried it it was at 27 GB. Ive started it up with around 5 left. Why is it now doing this after a year of no space start problems?
1775687,@AskPlayStation hello.My PlayStation device gives this error:(ws-37338-4). What is the reason for this warning?please help me
1405200,This as been my screen seen Thursday night I have the update file on a USB drive but it keeps giving me this HELP! @AskPlayStation #ps4 https://t.co/lDFFNGa5GG
2160066,"@AskPlayStation If I added a player to my Block list about 7 days ago, should they still be able to access and join my multiplayer game?"
263430,@AskPlayStation no but i have a 2TB on my first-gen PS4 so i'm going to transfer it the PRO when i get it .
23254,@AskPlayStation hey so I was playing nba 2k18 and got kicked off with an error code CE-34878-0 and now can’t load my player please help!!
2409717,@AskPlayStation how do I cancel a preorder
2878766,@AskPlayStation plz help me I’m sick of having problems with my PS4 ;( https://t.co/LxqYeuMxfH
2656192,"@AskPlayStation when I turn on my PS4 controller and it will work for about a minute and then the blue light will stay on but the controller is unresponsive I have tried to reset it but it hasn't worked also it won't charge, the orange light would go off then stop after one pulse"
2247007,@AskPlayStation Can I get a refund on this @161794 game I haven’t been able to access this game in 3 days @125833 isn’t do anything to address the issue I can’t access what I paid for! https://t.co/UxoWSEctBP
600484,"@AskPlayStation I bought the LittleBigPlanet Tekken costume pack on PSN, but the items won't download in-game and show up as unavailable in the PSN store.  Please help.  Link includes a video of in-game store. https://t.co/1BS1ow5mu6"
1221499,"@AskPlayStation Ok, Thanks, I already fixed the problem."
130614,@AskPlayStation Can you help me reset my ps3 account
876212,"@AskPlayStation I do that, but when I click confirm it doesn’t confirm it, I go back and all games are selected again"
645414,@AskSeagate I don't think the issue is @AskPlayStation I have another HDD that works with my PS4. I tried on it on another PS4 and it read it no problem
374635,@AskPlayStation I was banned and i will like to know why.
1269188,@AskPlayStation I'm trying to contact support but the chat form doesn't recognize my account eventhough I'm logged in to it on web. help pls
1719545,@AskPlayStation I dont have a credit card
369386,@AskPlayStation Got this ever since I updated https://t.co/pT8RhnI70M
307569,"@AskPlayStation Every time I try sign in asks for verification code, sends code to mobile and entered but still comes up with error"
2214359,@AskPlayStation Somehow 50 games from my PSN wishlist mysteriously vanished at some point in the last day or two. What happened and how do I get them back? There's no way I can remember everything.
1790322,@AskPlayStation Seemed to resolve itself after about 24 hours - not sure of cause... thanks for checking!
489921,@AskPlayStation My PS3 has been down since last nite ....Can't sign into PSN ...What's the problem and can't get help from PSN on the computer
298671,"@AskPlayStation Hi, does the ""boost mode"" on the pro affect games on psnow like red dead redemption?"
2717735,"@AskPlayStation my wishlist is glitched out, won't let me remove items for about a week now, keeps telling me there's an error just for certain items that I didn't add to my wishlist but are there somehow"
288727,@AskPlayStation hello I forgot my date of birth and I want to change my password please help me
918533,@AskPlayStation He can create New account but he wants his trophies. Because of that he did not create New account.
381348,@AskPlayStation Everytime I try to connect my PS4 to LAN it says connect the LAN cable even though it is already connected. I’ve tried to disconnect it then retry it but honestly I have no idea what else to try
273059,@AskPlayStation accepted new terms on master account. Sub account works everywhere except PS3.
332225,@AskPlayStation having issues with input lag. Also the controller goes further in one direction than another or randomly pulls left and down
408994,@AskPlayStation every time I go to play a game (disk or digital) my PlayStation starts humming louder and louder ? Any help how to stop this
2785290,@AskPlayStation I just did. So could you please help me?
1335908,"@AskPlayStation 
Hi i need help 
i bought this promo yesterday and didnt get my fifa points , i talked to @127852 and they said contact PS https://t.co/Tnm1n7f3Lb"
2156681,@AskPlayStation A ustedes les importa que yo gaste 60 dolares en una membresia?
964701,@AskPlayStation No error code or message.
714916,@AskPlayStation It's saying PlayStation Network might be temporarily busy. Please try again later...ideas??
1586066,"@AskPlayStation Yes, it’s happened with 2 games today it’s error code CE-37732-2"
940163,@AskPlayStation  Hello today i downloaded a ps4 game from the ps store and iwould like to refund it as soon as possible plz help me thanks
1189570,@AskPlayStation What would restore default settings do to my Playstation?
2194586,"@642163 @AskPlayStation Mercedes-AMG GT Safety Car
BMW M4 Safety Car
Peugeot 908 HDi FAP – Team Peugeot Total"
878570,"@AskPlayStation Hi, I’m experiencing a problem, where I’ve been prompted to download Version 5.00 for the system software onto a usb..."
2343393,@AskPlayStation Thanks I’ve done that but it didn’t work. It’s still not available anywhere to download 😩
2263161,@AskPlayStation Done
330624,@AskPlayStation  https://t.co/9anCjUq2nz
1308184,"@AskPlayStation im frustrated, I couldn’t purchase games at PlayStation store. It’s say update billing information. It happens a few times"
659665,"@AskPlayStation Getting an error when trying to purchase some games, I've waited over an hour before retrying and still no change https://t.co/cMeolfyqbm"
1284276,"@AskPlayStation I already send a PM, Dont get any answer..."
2717058,@AskPlayStation I've been suspended today for what reason?????what will i do??? https://t.co/4fCXq5EZbC
2374769,@AskPlayStation Error NW-2304-9
2755977,@AskPlayStation It just says we are unable to process your chat request at this time??
313119,@AskPlayStation internet use restriction doesn't work since last update. Are you going to release a patched update soon
2371688,@AskPlayStation Ya los sigo y ya mande md👍
1210299,"@AskPlayStation 
My PS4 turns on but there is no home screen. Could it be my HDMI port?"
829275,"@AskPlayStation  no puedo iniciar sesión en psn, me pueden ayudar?"
2930782,@AskPlayStation Error code 80710016 and thanks for the quick response
2343394,.@AskPlayStation I’ve purchased the Sims 4 Deluxe Party Edition. I’ve been able to download the game and the Perfect Patio Stuff preorder DLC but not the other 3 packs. Can you help??? @117014
591912,"@AskPlayStation trying to deactivate a ps3 system from my account, but i no longer have the system."
1760123,"@AskPlayStation Hello, the physical owners of Hitman Complete First Season, can't buy the Game of the year upgrade on PSN. Please Help."
714424,@AskPlayStation NW-31204-0
1348545,"@AskPlayStation I already did that,but didn't work,every time i plug the sub connector in it glows a orange colour then fades away nothing happens after."
326046,@AskPlayStation Fixed!  Thanks to Emma at https://t.co/QE6Bf30H6k - had to do a new install of system s/w.  No data loss - despite warning there would be!
1300398,@AskPlayStation I did not recieve the terro hunter trophy for rainbow six siege even though I have 3073 kills in the terrorist hunt game mode.
417146,@AskPlayStation This happens everytime i go to “proceed to checkout”
1134839,@AskPlayStation Why did I get a Warning for saying something Bad to someone on Massage but I just checked and there was nothing Bad lol
1508472,@AskPlayStation my platstation cant log my account in. i do still have playstation+. when i request chat it doesnt even recognize my usernam
724375,@AskPlayStation @117014 I really need your help I just made a dumb decision please help me
2582173,@AskPlayStation after the 5.0 PS4 updates i have only been having problems the ui has felt incredibly slow and clunky trying to download updates crashes my ps4 and randomly my PS4 just freezes for no reason please any help whatsoever would be great!
368968,@AskPlayStation It goes blank
1246628,"@AskPlayStation Why am I not able too sign in, it's saying connect to network and the network isn't working"
1765749,"@AskPlayStation I purchased HZD: The Frozen Wilds last night. It's live, but i can't set it to download from the mobile store. Help plz. https://t.co/ROcYpbrIJP"
1196670,@AskPlayStation I can't remember
391372,@AskPlayStation ok i jus did
2099479,"@AskPlayStation Done, look forward to hearing from you!"
337595,"@AskPlayStation I cant buy fifa points from the PS4 store on the console, is it possible buying from the computer?"
335459,@AskPlayStation Hi my ps4 pro's been having a memory issue the past few days https://t.co/C0dWs0FdC6
779702,"@AskPlayStation I’ve tried many times, but it doesn’t work. It says the sub account doesn’t belong to the family or doesn’t have permission."
376158,@205230 @AskPlayStation will I have to redownload GT sports again even if I downloaded the beta today?
2337823,"@AskPlayStation Hello. I'm having an issue, where my PS4 automatically signed me off from PSN and now it can't recognize my account e-mail."
623273,@AskPlayStation Done
1511733,@AskPlayStation Hi....I want to change the unit of price in my account to USD because it's TL and it' not available in my country.
869711,@AskPlayStation @6167 When I am downloading @117353 the download randomly stops can you help me with this?
467929,@AskPlayStation Ok so i have just done the rebuild and that is finished
114263,@AskPlayStation why can't the purchase of F1 2017 go through? Keeps encountimg an error and it's pretty frustrating.
389068,"@208072 @208073 @205230 @AskPlayStation Yeah, Ive come to realise my error too. Sorry!"
1017036,"@AskPlayStation Gracias, he empezado a seguirlos."
1400171,@AskPlayStation Since mornong when I used the Internet browser in ps4 it started lagging and being unresponsive. Before it wasn't like that
164314,"@AskPlayStation can't chat playstation support w/o PSN i'd? 🙁
3-mo old PS4 slim won't eject disk. no joy w/ manual eject screw"
2214425,"@AskPlayStation Ok I will try it, what If it don’t work?"
372661,@AskPlayStation my playstaion won't recognise I have ps plus #pleasehelp I've tried restoring licenses
2018520,Anyone have a PS4 slim and have ASTRO a40s I need to find a way to use my optical cable and plug it into th PS4 @117014 @AskPlayStation
2381651,@AskPlayStation can I get some help?
2483302,@AskPlayStation square trade says im still within my manufacture's warrenty
803337,@AskPlayStation why is my Disney ch on ps vue is now in Spanish. No other ch is doing it. And I’m getting Wash sports on my nbc. Shldbphily
314140,"@AskPlayStation I’m having trouble getting content because of my region, please can you dm me to resolve the issue. Thank you."
830380,@AskPlayStation upload to youtube hasnt worked for weeks. used to get stuck on a signin loop. Now i just get CE-39896-5. Please patch asap
1507768,@469948 @AskPlayStation Restore licenses bro
2368344,@AskPlayStation I recently got my account banned and paid my debt to get it back yesterday at 4:00pm but i have not been able to sign in.Is there a specific time i can access my account?
1660676,"@AskPlayStation keeps kicking me out of ps4 parties,any ideas how to fix?"
286505,@AskPlayStation is there a workaround to change my region? I registered my account in New York and now I'm in the Philippines. How?
337157,@AskPlayStation I need help with a purchase.
2149735,"@AskPlayStation , I can't connect on my PSN account because of the 2-step verification. I change my phone number because I moved abroad and I cannot get my code back!!! Help"
1623988,@AskPlayStation how to refund I accidentally purchased
1464206,@AskPlayStation UK
696807,@AskPlayStation This still hasn't worked 😖😖
2917387,@AskPlayStation I dropped my controller it turned off and now wont turn back on has no light flash or anything I need fix
375694,@AskPlayStation It's saying I did but I'm not receiving the code and I'm not logged into any other device to receive back up codes
1102331,"@AskPlayStation There's no way to adjust volume levels on the app only bass, mid &amp; treble. I've also tried restoring the headset and changing the mode"
2315691,"@AskPlayStation It was an easy fix, HDMI cable was loose sorry to bother"
1299241,@AskPlayStation I have a problem with starting a game. Everytime i try to start a game it says that i cant use my license right now!!
1669701,@AskPlayStation So I reinstalled the software update and it says the PS4 will restart it restarts and goes right back to the same screen
1763535,I have been having trouble for two days with customer service because of the 2-step verification code. @AskPlayStation
495364,My playstation 4 is stuck on a loop on safemode please help @AskPlayStation
720044,@AskPlayStation I can't sign in. Am I in a outage zone can you please give me some information regarding when I can use my paid services.
946180,"@AskPlayStation and still play in the games that i donwnload from the US mempership?
The games will still works or no?"
2559062,@AskPlayStation Still not working. My daughters works just fine after update
1068003,@AskPlayStation Is there any issue with the Playstation Store at the moment?  Seems like it's hanging on purchasing and charging my CC $0
1486505,"@AskPlayStation Each time I log in, it prompts me with this error message after selecting the user. Everything works fine tho. What is this? https://t.co/IAzEUvSzeL"
556784,"@AskPlayStation Hello, I keep getting the 80710016 error message on my PS3 and NW-2304-9 on my Vita when trying to sign in on them. I can’t even use either of my PS iPhone apps now. Is there something wrong with my account, please? It’s ‘SEECHECK’ on SEN."
2518565,"@AskPlayStation I can`t buy anything on PS STORE, whyy?"
1626839,@AskPlayStation there is something wrong with my debit card account. I do everything that the playstation tells me to but i can't buy a game
1374357,@AskPlayStation YO MY GUY WHY I JUST BUY A ADD ON AND DIDNT GET MY PURCHASE BUT YALL TOOK MY MOMEY
2712157,@AskPlayStation Sup. I have a PlayStation 4 problem.
2749997,@AskPlayStation Hello! Can I buy the 3 month membership online in Saudi and play in Saudi even though it says in the package “EU”!?
404781,"@AskPlayStation @211801 my account is belongs to country region is kuwait 
but i m currenty not available in that cointry help me i can answer any security question"
18314,@AskPlayStation la consola es un PS4 y el codigo de error E-8200012c en su foro de ayuda he visto otros que reportan el mismo error estos días con tarjetas
2317978,"@AskPlayStation 
I’m trying to see if I can get refunded for the PlayStation now subscription that I just purchased yesterday? Or change it to a 1 month subscription for PlayStation plus. I just bought the wrong one not knowing there was a difference"
1544763,@AskPlayStation Hi. I need help recovering my password on my sign in email at PSN. Please help me.
1688115,"@AskPlayStation I have a problem, I think my account is hacked, can you guys help me? It says I am online on another divice but i am not"
951452,@AskPlayStation Done
2622063,@AskPlayStation I would like to know more about this issue which makes the internet speeds on the PS4 low compared to other devices connected to the same router. My PS4 displays a download speed of 10 Mbps while my mobile phone displays 40 Mbps. Please clarify
2359755,@AskPlayStation Ok I’ve DMed you :)
1602490,@AskPlayStation I have registered my email with __email__ but have no received an email..
1511773,@AskPlayStation @259422 Hi there. Do you all realize that your entire network is down nationwide ?
1467378,"@AskPlayStation hello, I’ve never had the problem of uploading a video to YouTube and now I do. I get this message that says CE-39904-5"
263704,@AskPlayStation @178860 Yah error code E-801809A8 has been 3 days wtf
2372999,@AskPlayStation Thank you for getting me back onto my PS4 in a way it is a shame it now works as I was close to binning it and getting a pro lol.
2701651,@AskPlayStation why cant you guys deactive my account
1363670,@AskPlayStation trying to make purchase and have had 3 different active credit cards declined. Cards work everywhere except with sony. Help?
2179189,@AskPlayStation Dm me back
1005921,@AskPlayStation I have tried that things and it still doesn't works
1642263,"@AskPlayStation It is a Sony Bravia Android tv, only about 3 months old.  Happens quite often. 100mps. Multiple channels, no issues on other streaming apps"
711348,@AskPlayStation my playstation 4 won't let me download the new update
2796239,@AskPlayStation hi my sons ps4 wont broadcast. Its says service is unavailable for this account.
56525,@AskPlayStation Yes I tried my ps4 controller on my ps3 and tried other cables nothing worked
190235,@AskPlayStation Yo can't get into PS4 after update. Plz help
1689061,"Can't add funds, nor purchase games on Store! How do you solve this!? FIX THIS! @AskPlayStation"
1186239,@AskPlayStation I was playing a game in VR and it was all good and then went to watch a Blu Ray on it and the screen just constantly flickers
2921592,@AskPlayStation How do you reset your pass if you forgot it and forgot your DOB? 😅
2172805,"@AskPlayStation The thing is, my disc is stuck in side and it won't come out, then when I start it up I hear wierd noises."
347072,@AskPlayStation Is there any option to sync my trophies to another PSN account 😭😭
1358684,@AskPlayStation Didn't get any useful answers on the forum. Once i reset default settings in safe mode all seems fine but im again signed out of PSN.
770667,@AskPlayStation Does the plaroom app on ps4 still work? Im trying to use ps app on phone to use ar studio. But it wont load. Why?
273930,@AskPlayStation I have a wired connection.
2819944,@AskPlayStation I did that. It was in my original tweet. Maybe try reading the entire thing?
574448,@AskPlayStation I want help come special
2247566,@AskPlayStation The site directs me to ask on twitter again. And for the live chat option just keeps telling me I have been blocked from the chat for some reason which is odd since this is the very first time I've ever used it.
1038374,@AskPlayStation I'm following
214791,@AskPlayStation I'm trying to buy a game on the PS store and the store won't let me use my wallet balance to buy it
694652,"@AskPlayStation I have two accounts on the same ps4, one is fine and says I have ps plus, the other doesn’t. This issue never happened when I made he second account more than half a year ago"
1064780,"@AskPlayStation Playstation please help me, your deactivation form doesn't work and I get this message on your account management site https://t.co/HPS8ThwKdp"
2600568,@AskPlayStation Just followed
2377489,@AskPlayStation None of those helped....
253118,@AskPlayStation @176171 Ya I still do
1185456,"@AskPlayStation my visa card is suddenly not working now, it just says that my information is invalid. Any help?"
192438,@AskPlayStation hey help me please ?
2819947,@AskPlayStation I did this too. This was also in the original message.
243578,"@AskPlayStation hi, I keep getting (failed Internet connection) whenever I test it with WiFi, but it works with Lan cable, how to fix this?"
269645,@AskPlayStation @180316 Same symptoms. Tried suggestion solution with no luck. Fails at psn.
94369,"@AskPlayStation @119959 @5505 Feeling ripped off! Bought Monopoly on PS4, and can't win the game because the AI is cheating!! How can I get a refund? Wasted my time and feel aggrieved 😔 https://t.co/h9Uji7QPtV"
1111814,@AskPlayStation que pasa? (PS3) https://t.co/L0qF7RKxuo
2749974,@AskPlayStation  https://t.co/2NOcTAnVz5
1186898,@AskPlayStation  is there any way i can get back deleted saved gameplay clips??
129822,"@AskPlayStation 
Hello, could you please tell me why my twitter name would be offensive as a PS name? I've used this name online for years without issue"
1140069,@AskPlayStation Thanks for getting back to me but I managed to resolve the issue by rebuilding the database
2689914,@AskPlayStation How do I fix my wifi I enter my password and it says it is wrong but it is right
1579601,"@AskPlayStation Yeah, I just noticed. The problem is that I don’t have WiFi yet"
348282,Twitter continues to be quite clutch @AskPlayStation resolved my issue in quick time! Much thanks
1112390,@AskPlayStation Why’s my MLB The Show 17 got a pause symbol over it when I attempt to install it? Been trying over and over again
936411,@AskPlayStation is psn down its not working in southern California
391348,@AskPlayStation I have been trying to get on safe mode and held the power button and heard two beeps but it still doesn't work
1594335,"@AskPlayStation I️ have a PS4 and a wireless connection with great speed. Everything is perfect, but whenever I️ play online an error code shows"
1238564,@AskPlayStation hay algun problema con PS Network? Quiero iniciar sesion en la consola y se queda asi todo el rato. https://t.co/DgfbEAbrIS
798587,Third time in a row it's frozen up @AskPlayStation I just want to see if my data files are okay https://t.co/v6znspMyvD
2798648,"@AskPlayStation i need help, please can you DM me?"
223311,@AskPlayStation Yup I upgraded the app and now I don’t see the cast button anywhere in the app anymore?
2736794,@AskPlayStation Hey so the issue is on psp or PC I can’t enter the discount 10-digit code at checkout like I can on ps4 or ps3. I’m stuck
2459415,@AskPlayStation Your dual authentication is not working correctly on either Edge or Chrome. It just keeps loading new images in recaptcha making it impossible for me to log in to the store.
2785312,"@AskPlayStation Hi, I was wondering if you guys sell the VR Extensiom cable seperately. My VR works fine it just sucks having to lay on the ground to use the VR :/"
2792621,@AskPlayStation what is the solution of error (CE-35668-8)
1660299,@AskPlayStation @123583 Can't see anything except 'Checking system storage status'. PS4 appears to restart but stuck on blue light???
1550923,@AskPlayStation I did that 4 times it made no difference.
562708,"@AskPlayStation Trying to update my email on website. I keep getting ""The Sign-In ID is too similar to the Online ID"". Can I not have my ID as the first part of my gmail address?"
369383,@AskPlayStation @203514 I'm having same issue
312720,@AskPlayStation helpp me it says that pls connect to psn when i want to play online
2969087,@AskPlayStation Happen
1648188,@AskPlayStation Activate*
2969083,@AskPlayStation I have this error code when I try to log in to my PS app. C-82E10193. What is this error code
190215,@AskPlayStation me gustaría cambiar la región a mi cuenta de play station.
